GEOID,NAME,pop,income,rent,home_value,vacancy_rate,ami_60,below_60_ami,PovertyRate,LILATracts_1And10,lapop1share,LATracts_half,TractHUNV,TractSNAP,snap_pct,hunv_pct
29095013704,"Census Tract 137.04, Jackson County, Missouri",6023,73750,988,179900,0.0396,49620,0,8.4,0,5.17,1,93,104,0.0173,0.0154
29095012804,"Census Tract 128.04, Jackson County, Missouri",6087,44947,1095,103300,0.0465,49620,1,18.1,1,48.74,1,67,444,0.0729,0.011
29095016600,"Census Tract 166, Jackson County, Missouri",1396,26944,756,46300,0.275,49620,1,29.9,0,24.04,1,180,264,0.1891,0.1289
29095016400,"Census Tract 164, Jackson County, Missouri",1696,25795,845,44200,0.311,49620,1,48,0,17.21,1,159,201,0.1185,0.0938
29095003800,"Census Tract 38, Jackson County, Missouri",1531,30417,582,64500,0.3638,49620,1,17.4,0,NULL,0,175,190,0.1241,0.1143
29095012904,"Census Tract 129.04, Jackson County, Missouri",2964,63125,1126,110100,0.0711,49620,0,7.4,0,51.71,1,30,76,0.0256,0.0101
29095005602,"Census Tract 56.02, Jackson County, Missouri",1424,28958,1021,57900,0.3751,49620,1,49.1,0,NULL,0,186,271,0.1903,0.1306
29095004400,"Census Tract 44, Jackson County, Missouri",1440,74178,1302,248100,0.0928,49620,0,13,0,38.62,1,26,5,0.0035,0.0181
29095007900,"Census Tract 79, Jackson County, Missouri",3612,27672,872,59100,0.2379,49620,1,20.4,1,59.76,1,364,465,0.1287,0.1008
29095012701,"Census Tract 127.01, Jackson County, Missouri",6771,62331,867,123300,0.0787,49620,0,8.2,0,3.80,1,61,292,0.0431,0.009
29095002000,"Census Tract 20, Jackson County, Missouri",2443,40335,864,44300,0.22,49620,1,38.7,0,0.31,1,68,211,0.0864,0.0278
29095000700,"Census Tract 7, Jackson County, Missouri",3469,38571,809,64900,0.1899,49620,1,18.6,0,NULL,0,147,278,0.0801,0.0424
