route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
101,KCATA,101,State,101,3,,C0C0C0,000000
107,KCATA,107,7th Street - Parallel,107,3,,C0C0C0,000000
11,KCATA,11,Northeast-Westside,11,3,,C0C0C0,000000
12,KCATA,12,12th Street,12,3,,C0C0C0,000000
18,KCATA,18,Indiana,18,3,,C0C0C0,000000
2,KCATA,TMAX,Troost MAX,2,3,,C0C0C0,000000
201,KCATA,201,North Oak,201,3,,C0C0C0,000000
21,KCATA,21,Clevland-Antioch,21,3,,C0C0C0,000000
210,KCATA,210,Front Street,210,3,,800080,000000
229,KCATA,229,Boardwalk-KCI,229,3,,C0C0C0,000000
23,KCATA,23,23rd Street,23,3,,008000,000000
238,KCATA,238,Meadowbrook,238,3,,C0C0C0,000000
24,KCATA,24,Independence,24,3,,C0C0C0,000000
25,KCATA,25,Troost,25,3,,C0C0C0,000000
27,KCATA,27,27th Street,27,3,,C0C0C0,000000
28,KCATA,28,Blue Ridge,28,3,,C0C0C0,000000
3,KCATA,PMAX,Prospect MAX,3,3,,C0C0C0,000000
31,KCATA,31,31st Street,31,3,,C0C0C0,000000
35,KCATA,35,35th Street,35,3,,C0C0C0,000000
39,KCATA,39,39th Street,39,3,,C0C0C0,000000
47,KCATA,47,Martin Luther King Jr.,47,3,,C0C0C0,000000
50,KCATA,50,Brookside-Main,1,3,,008000,000000
550,KCATA,550,Lee's Summit Express,550,3,,C0C0C0,000000
57,KCATA,57,Wornall,57,3,,C0C0C0,000000
601,KCATA,STCR,KC Streetcar,STCR,0,,0693E3,FFFFFF
63,KCATA,63,63rd Street,63,3,,C0C0C0,000000
71,KCATA,71,Prospect,71,3,,C0C0C0,000000
75,KCATA,75,75th Street,75,3,,C0C0C0,000000
85,KCATA,85,Paseo,85,3,,C0C0C0,000000
9,KCATA,9,9th Street,9,3,,C0C0C0,000000
